Date,Confirmed,Deaths,Recovered,Beni Mellal-Khenifra,Casablanca-Settat,Draa-Tafilalet,Dakhla-Oued Ed-Dahab,Fes-Meknes,Guelmim-Oued Noun,Laayoune-Sakia El Hamra,Marrakesh-Safi,Oriental,Rabat-Sale-Kenitra,Souss-Massa,Tanger-Tetouan-Al Hoceima
02/03/2020,1,,,,1,,,,,,,,,,
03/03/2020,,,,,,,,,,,,,,,
04/03/2020,2,,,,2,,,,,,,,,,
05/03/2020,,,,,,,,,,,,,,,
06/03/2020,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,,,,,
08/03/2020,3,1,,,,,,,,,1,,,,
09/03/2020,,,,,,,,,,,,,,,
10/03/2020,5,,,,,,,,,,2,,,,
11/03/2020,6,,,,,,,1,,,,,,,
12/03/2020,,,,,,,,,,,,,,,
13/03/2020,7,,1,,3,,,,,,,,,,
14/03/2020,17,,,,,,,,,,,,,,
15/03/2020,28,,,,,,,,,,,,,,
16/03/2020,37,,,,,,,,,,,,,,
17/03/2020,44,2,,,,,,,,,,,,,
18/03/2020,58,,,,,,,,,,,,,,
19/03/2020,63,,2,,,,,,,,,,,,
20/03/2020,86,,,2,16,0,0,13,1,0,7,1,16,6,4
21/03/2020,96,,,2,22,1,0,21,1,0,10,4,22,6,7
22/03/2020,109,4,3,3,26,1,0,24,1,0,13,5,29,6,7
23/03/2020,143,4,5,3,34,1,0,35,1,0,15,7,32,6,9
24/03/2020,170,5,6,4,42,1,0,36,1,0,22,7,40,6,11
25/03/2020,225,6,7,6,59,2,0,50,1,0,32,7,45,8,15
26/03/2020,275,10,8,7,87,3,0,51,1,0,43,7,50,10,16
27/03/2020,345,23,11,10,107,5,0,63,1,0,57,12,56,11,23
28/03/2020,402,25,11,10,117,6,0,72,1,0,70,14,72,11,29
29/03/2020,479,26,13,12,139,8,0,87,1,0,82,16,84,14,36
30/03/2020,556,33,15,17,164,8,0,92,1,0,99,22,97,17,39
31/03/2020,617,36,24,18,176,11,0,114,1,0,108,26,105,17,41
01/04/2020,654,39,29,21,181,20,0,110,1,2,115,29,113,17,45
02/04/2020,708,44,31,23,207,20,0,113,1,2,127,35,115,18,47
03/04/2020,791,48,57,25,226,31,0,117,1,4,129,39,142,19,58
04/04/2020,919,59,66,26,248,41,0,129,1,4,163,54,171,19,63
05/04/2020,1021,70,76,28,295,41,0,133,1,4,186,55,181,19,78
06/04/2020,1120,80,81,33,332,46,0,152,1,4,201,71,186,19,96
07/04/2020,1184,90,93,34,353,51,0,160,1,4,204,73,186,19,99
08/04/2020,1275,93,97,40,397,67,2,165,1,4,256,76,207,20,111
09/04/2020,1374,97,109,41,404,67,2,167,1,4,258,86,209,20,115
10/04/2020,1448,107,122,42,420,67,2,176,1,4,276,96,215,22,127
11/04/2020,1545,111,146,47,447,71,2,194,1,4,285,104,226,23,141
